Players,Salaries_2019,Salaries_2020,Salaries_2021,Salaries_2022
Brandon Ingram,"$8,654,403","$32,292,459","$32,292,459","$32,292,459"
Darius Miller,"$8,635,958","$8,284,669","$8,284,669","$8,284,669"
DJ Augustin,"$8,635,958","$7,890,162","$7,890,162","$7,890,162"
De'Andre Hunter,"$8,419,594","$8,784,116","$8,784,116","$8,784,116"
Josh Jackson,"$8,409,017","$5,641,860","$5,641,860","$5,641,860"
Ersan Ilyasova,"$8,338,166","$1,413,769","$1,413,769","$1,413,769"
Davis Bertans,"$8,338,166","$17,752,863","$17,752,863","$17,752,863"
Jaren Jackson Jr,"$8,251,783","$8,589,261","$8,589,261","$8,589,261"
Nemanja Bjelica,"$8,129,712","$8,462,198","$8,462,198","$8,462,198"
Jaylen Brown,"$7,784,070","$29,629,669","$29,629,669","$29,629,669"
Jabari Parker,"$7,742,583","$8,202,685","$8,202,685","$8,202,685"
Ivica Zubac,"$7,720,525","$8,284,669","$8,284,669","$8,284,669"
Darius Garland,"$7,624,562","$7,954,135","$7,954,135","$7,954,135"
De'Aaron Fox,"$7,614,842","$9,586,104","$9,586,104","$9,586,104"
Trae Young,"$7,472,188","$7,777,884","$7,777,884","$7,777,884"
Montrezl Harrell,"$7,146,999","$10,957,067","$10,957,067","$10,957,067"
Ishmael Smith,"$7,146,999","$7,101,145","$7,101,145","$7,101,145"
Jarrett Culver,"$6,925,014","$7,224,563","$7,224,563","$7,224,563"
Jonathan Isaac,"$6,916,437","$8,713,774","$8,713,774","$8,713,774"
Rodney Hood,"$6,811,090","$11,891,400","$11,891,400","$11,891,400"
Mo Bamba,"$6,786,791","$7,064,503","$7,064,503","$7,064,503"
Trey Lyles,"$6,551,416","$6,509,383","$6,509,383","$6,509,383"
Aron Baynes,"$6,495,765","$8,284,669","$8,284,669","$8,284,669"
Kris Dunn,"$6,370,367","$5,641,860","$5,641,860","$5,641,860"
Coby White,"$6,321,664","$6,595,401","$6,595,401","$6,595,401"
Lauri Markkanen,"$6,313,659","$7,966,902","$7,966,902","$7,966,902"
Wendell Carter,"$6,195,734","$6,448,834","$6,448,834","$6,448,834"
Daniel Theis,"$5,955,833","$5,917,621","$5,917,621","$5,917,621"
Luol Deng,"$5,955,833","$5,917,621","$5,917,621","$5,917,621"
Jaxson Hayes,"$5,791,499","$6,042,080","$6,042,080","$6,042,080"
Buddy Hield,"$5,790,507","$29,507,409","$29,507,409","$29,507,409"
Frank Ntilikina,"$5,784,067","$7,310,129","$7,310,129","$7,310,129"
Rodney McGruder,"$5,726,763","$6,145,221","$6,145,221","$6,145,221"
Enes Kanter,"$5,678,291","$5,923,953","$5,923,953","$5,923,953"
Garrett Temple,"$5,678,291","$5,641,860","$5,641,860","$5,641,860"
Justin Holiday,"$5,678,291","$6,770,232","$6,770,232","$6,770,232"
JaMychal Green,"$5,678,291","$8,521,090","$8,521,090","$8,521,090"
Avery Bradley,"$5,678,291","$6,669,159","$6,669,159","$6,669,159"
Robin Lopez,"$5,678,291","$8,639,726","$8,639,726","$8,639,726"
Mike Scott,"$5,678,291","$5,923,953","$5,923,953","$5,923,953"
Frank Kaminsky,"$5,678,291","$2,055,953","$2,055,953","$2,055,953"
Richaun Holmes,"$5,678,291","$5,923,953","$5,923,953","$5,923,953"
Ed Davis,"$5,678,291","$5,923,953","$5,923,953","$5,923,953"
Collin Sexton,"$5,675,861","$5,908,011","$5,908,011","$5,908,011"
Rui Hachimura,"$5,323,514","$5,554,089","$5,554,089","$5,554,089"
Kevon Looney,"$5,317,708","$5,706,278","$5,706,278","$5,706,278"
Dennis Smith,"$5,316,939","$6,730,320","$6,730,320","$6,730,320"
Jamal Murray,"$5,294,433","$32,292,459","$32,292,459","$32,292,459"
Kevin Knox,"$5,217,452","$5,430,814","$5,430,814","$5,430,814"
Cam Reddish,"$5,057,360","$5,276,151","$5,276,151","$5,276,151"
Zach Collins,"$5,050,784","$6,398,433","$6,398,433","$6,398,433"
Mikal Bridges,"$4,956,444","$5,158,982","$5,158,982","$5,158,982"
Alex Len,"$4,955,253","$4,699,357","$4,699,357","$4,699,357"
Nicolo Melli,"$4,886,837","$4,612,710","$4,612,710","$4,612,710"
Cameron Johnson,"$4,804,499","$5,012,414","$5,012,414","$5,012,414"
Malik Monk,"$4,798,495","$6,326,750","$6,326,750","$6,326,750"
